study_name,trial_number,state,value,alpha,eps0,eps_decay,eps_end,gamma
sarsa-pokemon-study,66,COMPLETE,1.0,0.06604083106066885,0.9472902338904545,1031.0,0.1540890742969826,0.901300891256063
sarsa-pokemon-study,67,PRUNED,0.0,0.10744703642973204,0.840156049730828,4083.0,0.04145569346322181,0.9642150285325966
sarsa-pokemon-study,68,COMPLETE,1.0,0.1650055885603447,0.8065206036847418,7715.0,0.08105576409090105,0.943556200404304
sarsa-pokemon-study,69,COMPLETE,1.0,0.06946940346387817,0.9296769785279166,9693.0,0.14218691828270877,0.985429804863472
sarsa-pokemon-study,70,COMPLETE,1.0,0.07827004687091602,0.6443062824345148,3367.0,0.09975247879964286,0.9310202125063965
sarsa-pokemon-study,71,COMPLETE,1.0,0.0500499464444133,0.689793692584733,1917.0,0.07920662342951142,0.9384881502838522
sarsa-pokemon-study,72,COMPLETE,1.0,0.08286897192303082,0.7975882754835851,3505.0,0.09735573502081776,0.9123006115154313
sarsa-pokemon-study,73,COMPLETE,1.0,0.06236871211845426,0.7078937075813753,5955.0,0.06017336962785031,0.9077239714582885
sarsa-pokemon-study,74,COMPLETE,1.0,0.09677934096810863,0.5852306392660565,2606.0,0.11370708843192821,0.9242303028603456
sarsa-pokemon-study,75,COMPLETE,1.0,0.07799267132644395,0.9491491334094584,4145.0,0.041326689362602025,0.9593540922264199
sarsa-pokemon-study,76,COMPLETE,1.0,0.06011686082769674,0.9061080132164645,5535.0,0.17016041844463503,0.9408252286081742
sarsa-pokemon-study,77,COMPLETE,1.0,0.11868570614483487,0.9981126922026228,1724.0,0.131097592367119,0.9231259045273117
sarsa-pokemon-study,78,PRUNED,0.0,0.14286372749186524,0.8603653080815763,2297.0,0.07037252193640367,0.9878596830600447
sarsa-pokemon-study,79,COMPLETE,1.0,0.07486891007371307,0.777884243007272,7210.0,0.0905745833189762,0.907449672117778
sarsa-pokemon-study,80,COMPLETE,1.0,0.20927602920519767,0.5977487924963201,9727.0,0.19515854055667292,0.91767499066202
sarsa-pokemon-study,81,COMPLETE,1.0,0.26504878894509937,0.7192754267935869,9277.0,0.1958024564880405,0.9102897129757999
sarsa-pokemon-study,82,PRUNED,0.0,0.19664324625271465,0.6376587775186807,8791.0,0.1116947647559909,0.9262037934123725
sarsa-pokemon-study,83,COMPLETE,1.0,0.31497672596614884,0.8484672062488253,5151.0,0.13152620656515757,0.9167877011573666
sarsa-pokemon-study,84,COMPLETE,1.0,0.4320528675229531,0.5097575172582265,7794.0,0.16746425422432137,0.9378179615672743
sarsa-pokemon-study,85,PRUNED,0.0,0.18217194509682152,0.5455108415549853,3147.0,0.18140822114183572,0.9042584210156545
sarsa-pokemon-study,86,PRUNED,0.0,0.2593377358606022,0.7428358675276734,4786.0,0.14999639547114935,0.9326493818572615
sarsa-pokemon-study,87,COMPLETE,1.0,0.05899358651375248,0.9519283539617145,8936.0,0.010505445602412913,0.9142119971636059
sarsa-pokemon-study,88,COMPLETE,1.0,0.10557671514631528,0.8754213005329714,7038.0,0.12103450795896209,0.919727863456903
sarsa-pokemon-study,89,PRUNED,0.0,0.1591878944566395,0.6094605037940731,3984.0,0.026193022842382174,0.9755759119279493
sarsa-pokemon-study,90,COMPLETE,1.0,0.36701943106276724,0.5351832273599302,5476.0,0.14110847939993085,0.9279239846919376
sarsa-pokemon-study,91,PRUNED,0.0,0.5534994315408973,0.5628710486423527,2930.0,0.1258759309429547,0.9461875728411988
