study_name,trial_number,state,value,alpha,eps0,eps_decay,eps_end,gamma
sarsa-pokemon-study,50,COMPLETE,1.0,0.07367435886218596,0.9330880728874675,7373.0,0.12421185223120967,0.9057502776046518
sarsa-pokemon-study,51,COMPLETE,1.0,0.05262406645045106,0.9162213204002109,2636.0,0.05034443102887247,0.9960210753640374
sarsa-pokemon-study,52,COMPLETE,1.0,0.07886725254469329,0.762378215816119,3621.0,0.092069553542002,0.9301199820529943
sarsa-pokemon-study,55,COMPLETE,1.0,0.22626689367346012,0.5325257964926398,9691.0,0.19028825207813332,0.9168818882450419
sarsa-pokemon-study,56,COMPLETE,1.0,0.37271533503778803,0.5488360570031919,4961.0,0.14000427503730983,0.9301567631481638
sarsa-pokemon-study,57,COMPLETE,1.0,0.06771289447645433,0.5171942605576092,3329.0,0.1827708763949686,0.9490225141010158
sarsa-pokemon-study,59,COMPLETE,1.0,0.12147900356901423,0.9847685553939329,8503.0,0.013412756366815742,0.9005937211126259
sarsa-pokemon-study,60,COMPLETE,1.0,0.05505053118867601,0.9903208579982972,7449.0,0.044168235284177446,0.9967939717476193
sarsa-pokemon-study,61,COMPLETE,1.0,0.09566302894526814,0.8819164706812351,6585.0,0.06425467242025854,0.9740050607339267
sarsa-pokemon-study,62,COMPLETE,1.0,0.05141316759296338,0.8838129988503957,6394.0,0.15989178656766828,0.9654396591561576
