episode,train_return,steps,epsilon,q_rows,eval_winrate,eval_return
1,-102.6136,16,0.996208,13,,
2,-101.4191,17,0.992195,26,,
3,-104.8732,14,0.988903,35,,
4,-102.7048,16,0.985155,40,,
5,-104.5653,20,0.980491,47,,
6,103.3170,18,0.976313,58,,
7,-105.0223,16,0.972615,63,,
8,109.3570,14,0.969391,72,,
9,106.5181,12,0.966637,77,,
10,105.2294,18,0.962522,83,,
11,-102.3514,22,0.957517,90,,
12,107.3326,13,0.954572,95,,
13,107.0000,18,0.950511,96,,
14,-103.9817,23,0.945348,98,,
15,-102.5796,16,0.941773,98,,
16,-102.5191,16,0.938213,98,,
17,109.3175,16,0.934668,102,,
18,108.8711,12,0.932018,106,,
19,-104.7625,15,0.928716,109,,
20,101.5367,20,0.924334,112,,
21,101.9927,17,0.920626,120,,
22,-104.6103,19,0.916500,124,,
23,101.2871,18,0.912609,127,,
24,-100.7251,20,0.908307,131,,
25,102.6552,21,0.903813,133,,
26,-105.1792,18,0.899979,134,,
27,109.9438,11,0.897645,134,,
28,-102.1633,22,0.892996,139,,
29,-100.7581,14,0.890050,144,,
30,-102.2720,16,0.886697,144,,
31,-103.7660,20,0.882524,145,,
32,106.5153,16,0.879201,148,,
33,108.6250,20,0.875065,151,,
34,-103.3329,18,0.871360,153,,
35,101.8825,17,0.867877,154,,
36,102.4037,16,0.864612,155,,
37,-102.8815,20,0.860549,156,,
38,105.5051,19,0.856708,160,,
39,102.1822,20,0.852685,160,,
40,-104.4595,18,0.849081,162,,
41,106.5034,20,0.845095,165,,
42,103.3966,18,0.841525,168,,
43,-104.5775,16,0.838366,168,,
44,103.0914,21,0.834238,172,,
45,-106.1953,20,0.830326,172,,
46,106.3142,17,0.827017,172,,
47,101.8009,18,0.823528,173,,
48,102.6867,18,0.820055,173,,
49,102.6032,21,0.816023,173,,
50,103.3522,17,0.812774,175,1.0000,109.6354
51,-104.0360,21,0.808780,178,,
52,104.7862,13,0.806318,181,,
53,106.1474,12,0.804052,181,,
54,102.2191,16,0.801042,181,,
55,-103.7369,10,0.799167,181,,
56,100.0751,19,0.795617,184,,
57,-103.3328,18,0.792269,184,,
58,-102.2064,16,0.789306,187,,
59,-102.2811,16,0.786355,189,,
60,107.2238,13,0.783965,189,,
61,-105.0832,15,0.781218,189,,
62,107.5066,15,0.778481,190,,
63,109.4280,18,0.775211,190,,
64,105.3740,18,0.771954,190,,
65,-101.7928,14,0.769432,190,,
66,-104.6689,17,0.766381,190,,
