episode,train_return,steps,epsilon,q_rows,eval_winrate,eval_return
1,-102.4408,17,0.995971,17,,
2,-104.7206,16,0.992195,29,,
3,104.8981,14,0.988903,39,,
4,107.3436,13,0.985856,47,,
5,103.1267,16,0.982120,58,,
6,-102.4171,18,0.977935,71,,
7,-105.3433,17,0.974000,76,,
8,-103.8663,21,0.969162,82,,
9,-102.5092,14,0.965950,87,,
10,-107.0090,21,0.961154,93,,
11,-102.9563,17,0.957290,94,,
12,-105.6683,16,0.953668,97,,
13,-103.6155,16,0.950061,99,,
14,-103.4003,21,0.945348,104,,
15,105.4281,14,0.942219,112,,
16,-104.1241,10,0.939992,112,,
17,104.7275,24,0.934668,123,,
18,103.6303,20,0.930255,131,,
19,103.4200,26,0.924552,137,,
20,110.1256,12,0.921932,139,,
21,99.4462,23,0.916933,145,,
22,100.2947,21,0.912394,150,,
23,105.2043,17,0.908736,151,,
24,107.3974,14,0.905736,154,,
25,107.4890,10,0.903599,154,,
26,104.5090,19,0.899554,156,,
27,-102.4356,19,0.895529,163,,
28,103.5370,19,0.891522,165,,
29,-103.9286,10,0.889421,167,,
30,-102.8581,19,0.885443,169,,
31,102.8753,20,0.881276,172,,
32,-106.1325,17,0.877751,173,,
33,-103.3569,11,0.875477,174,,
34,106.3207,11,0.873211,177,,
35,106.1826,16,0.869924,180,,
36,105.8938,16,0.866651,184,,
37,-102.7729,21,0.862375,185,,
38,102.7013,17,0.858930,187,,
39,-101.3960,15,0.855902,188,,
40,-102.5579,16,0.852685,188,,
41,105.5515,18,0.849081,190,,
42,103.2636,18,0.845493,196,,
43,101.1352,19,0.841723,197,,
44,-105.3799,11,0.839549,197,,
45,-105.5669,12,0.837184,197,,
46,107.3988,17,0.833846,201,,
47,108.6591,14,0.831107,202,,
48,-103.8185,23,0.826628,204,,
49,107.7104,14,0.823915,206,,
50,108.2906,16,0.820825,212,1.0000,107.7732
51,102.9468,20,0.816981,212,,
52,-102.9161,20,0.813156,212,,
53,105.1091,12,0.810870,212,,
54,-105.2073,14,0.808211,212,,
55,-103.2861,18,0.804807,212,,
56,-103.9288,21,0.800855,212,,
57,104.8891,19,0.797296,216,,
58,104.5157,18,0.793941,217,,
59,-102.6418,15,0.791157,218,,
60,105.8227,16,0.788198,224,,
61,-103.5188,18,0.784884,227,,
62,108.4570,13,0.782499,229,,
63,103.8345,16,0.779575,230,,
64,106.0824,14,0.777026,232,,
65,106.2012,14,0.774486,232,,
66,100.5678,14,0.771954,234,,
67,110.2601,14,0.769432,234,,
68,102.0048,18,0.766202,236,,
69,107.1544,11,0.764235,236,,
70,108.8167,17,0.761206,237,,
71,109.3948,13,0.758898,238,,
72,106.2368,12,0.756775,238,,
73,105.9801,18,0.753601,239,,
74,107.6580,15,0.750968,240,,
75,-102.6360,14,0.748519,241,,
76,-100.9062,14,0.746078,243,,
77,-104.1706,19,0.742780,244,,
78,109.9346,14,0.740359,246,,
79,-106.1079,15,0.737775,247,,
80,103.3237,19,0.734516,249,,
81,-102.4325,17,0.731613,249,,
82,107.4434,16,0.728892,250,,
83,102.4009,20,0.725506,250,,
84,108.4793,11,0.723651,250,,
85,106.5624,9,0.722137,250,,
